district,neighborhood,total_listings,avg_price,avg_price_per_m2
Beylikdüzü,Cumhuriyet Mah.,9,35000.0,256.8493150684931
Şişli,19 Mayıs Mah.,26,35000.0,366.07142857142856
Beşiktaş,Sinanpaşa Mah.,8,35000.0,393.75
Beşiktaş,Muradiye Mah.,11,35000.0,490.0
Şişli,Ergenekon Mah.,15,35000.0,375.0
Maltepe,Altıntepe Mah.,42,34500.0,311.86868686868684
Bakırköy,Zuhuratbaba Mah.,20,34000.0,291.9871794871795
Kağıthane,Merkez Mah.,49,34000.0,463.6363636363636
Zeytinburnu,Merkezefendi Mah.,14,33500.0,318.1818181818182
Pendik,Dumlupınar Mah.,9,33000.0,280.70175438596493
Beyoğlu,Kuloğlu Mah.,21,33000.0,457.14285714285717
Ümraniye,Esenevler Mah.,3,33000.0,311.7647058823529
Üsküdar,Güzeltepe Mah.,13,33000.0,242.85714285714286
Şişli,Duatepe Mah.,8,33000.0,325.0
Beşiktaş,Türkali Mah.,23,32500.0,350.0
Eyüpsultan,Mithatpaşa Mah.,9,32500.0,436.3636363636364
Sarıyer,Cumhuriyet Mah.,20,32500.0,216.80376028202116
Üsküdar,Kısıklı Mah.,3,32500.0,566.6666666666666
Pendik,Batı Mah.,6,32500.0,329.5238095238095
Ümraniye,Madenler Mah.,8,32500.0,356.4655172413793
Şile,Çavuş Mah.,10,32500.0,257.14285714285717
Ataşehir,Örnek Mah.,12,32250.0,453.2828282828283
Kartal,Esentepe Mah.,3,32000.0,421.05263157894734
Beyoğlu,Kocatepe Mah.,10,32000.0,393.8181818181818
Kadıköy,Hasanpaşa Mah.,7,32000.0,290.90909090909093
Maltepe,Feyzullah Mah.,12,31250.0,314.14473684210526
Beşiktaş,Cihannüma Mah.,13,31000.0,336.8421052631579
Ümraniye,Çamlık Mah.,12,31000.0,326.66666666666663
Tuzla,Postane Mah.,5,31000.0,295.23809523809524
Beşiktaş,Mecidiye Mah.,20,31000.0,382.3076923076923
Sancaktepe,Eyüp Sultan Mah.,4,30750.0,255.43478260869566
Gaziosmanpaşa,Mevlana Mah.,3,30500.0,244.0
Başakşehir,Bahçeşehir 1. Kısım Mah.,17,30000.0,263.1578947368421
Üsküdar,Selami Ali Mah.,7,30000.0,326.0869565217391
Bakırköy,Zeytinlik Mah.,4,30000.0,227.1825396825397
Gaziosmanpaşa,Karadeniz Mah.,36,30000.0,301.3157894736842
Ataşehir,İçerenköy Mah.,31,30000.0,272.72727272727275
Bağcılar,Güneşli Mah.,7,30000.0,260.8695652173913
Şişli,Feriköy Mah.,29,30000.0,352.94117647058823
Ümraniye,Atakent Mah.,3,30000.0,272.72727272727275
Maltepe,Yalı Mah.,13,30000.0,311.7647058823529
Üsküdar,Mimar Sinan Mah.,7,30000.0,241.3793103448276
Eyüpsultan,Alibeyköy Mah.,9,30000.0,250.0
Beykoz,Çubuklu Mah.,23,30000.0,243.75
Sarıyer,Reşitpaşa Mah.,12,30000.0,289.9159663865546
Büyükçekmece,Mimar Sinan Merkez Mah.,5,30000.0,194.44444444444446
Beyoğlu,Sütlüce Mah.,5,30000.0,327.10280373831773
Beyoğlu,Örnektepe Mah.,4,29975.0,299.75
Pendik,Fevzi Çakmak Mah.,7,29750.0,288.3333333333333
Kartal,Yalı Mah.,3,29500.0,453.84615384615387
Şile,Balibey Mah.,9,29000.0,288.8888888888889
Şişli,Halide Edip Adıvar Mah.,22,29000.0,296.7032967032967
Tuzla,Yayla Mah.,6,28975.0,271.4891304347826
Kartal,Yakacık Yeni Mah.,6,28500.0,363.2478632478632
Pendik,Kaynarca Mah.,8,28500.0,264.14141414141415
Pendik,Çınardere Mah.,5,28500.0,277.77777777777777
Maltepe,Bağlarbaşı Mah.,18,28250.0,410.7142857142857
Çekmeköy,Taşdelen Mah.,6,28250.0,289.9944720840243
Pendik,Bahçelievler Mah.,3,28000.0,278.2608695652174
Eyüpsultan,Güzeltepe Mah.,17,28000.0,300.0
Üsküdar,Ferah Mah.,4,28000.0,269.1666666666667
Üsküdar,Salacak Mah.,11,28000.0,340.0
Pendik,Yenişehir Mah.,24,28000.0,283.44262295081967
Üsküdar,Cumhuriyet Mah.,15,28000.0,281.25
Kartal,Cumhuriyet Mah.,9,28000.0,299.06542056074767
Çekmeköy,Sultançiftliği Mah.,11,28000.0,284.61538461538464
Kadıköy,Osmanağa Mah.,34,28000.0,467.8571428571429
Ümraniye,Yukarı Dudullu Mah.,3,28000.0,373.3333333333333
Sultanbeyli,Mimar Sinan Mah.,3,28000.0,193.10344827586206
Beykoz,Kavacık Mah.,74,28000.0,240.0
Kartal,Atalar Mah.,5,28000.0,320.0
Çekmeköy,Soğukpınar Mah.,4,27750.0,248.75
Kağıthane,Hürriyet Mah.,18,27500.0,251.25
Zeytinburnu,Nuripaşa Mah.,4,27500.0,202.08333333333334
Beyoğlu,Kaptanpaşa Mah.,3,27500.0,200.0
Üsküdar,Ünalan Mah.,16,27500.0,381.8181818181818
Üsküdar,Burhaniye Mah.,6,27000.0,208.0128205128205
Beyoğlu,Piri Paşa Mah.,3,27000.0,270.0
Maltepe,Aydınevler Mah.,24,27000.0,318.0147058823529
Güngören,Abdurrahman Nafiz Gürman Mah.,15,27000.0,222.22222222222223
Gaziosmanpaşa,Yeni Mahalle Mah.,5,27000.0,207.69230769230768
Üsküdar,Murat Reis Mah.,23,27000.0,307.6923076923077
Kadıköy,Eğitim Mah.,4,27000.0,274.4871794871795
Başakşehir,Bahçeşehir 2. Kısım Mah.,29,27000.0,250.0
Küçükçekmece,Atakent Mah.,40,26750.0,308.6080586080586
Eyüpsultan,Düğmeciler Mah.,4,26750.0,236.66666666666666
Üsküdar,Küçük Çamlıca Mah.,6,26500.0,288.33333333333337
Üsküdar,Küplüce Mah.,3,26500.0,166.66666666666666
Şişli,İzzet Paşa Mah.,6,26500.0,272.36842105263156
Eyüpsultan,Emniyettepe Mah.,30,26000.0,329.16666666666663
Eyüpsultan,Silahtarağa Mah.,5,26000.0,268.75
Kağıthane,Talatpaşa Mah.,27,26000.0,311.7647058823529
Kadıköy,Acıbadem Mah.,11,26000.0,285.7142857142857
Beşiktaş,Abbasağa Mah.,12,26000.0,351.1111111111111
Beyoğlu,Katip Mustafa Çelebi Mah.,19,26000.0,571.4285714285714
Ümraniye,Armağanevler Mah.,11,26000.0,262.10526315789474
Bakırköy,Osmaniye Mah.,7,26000.0,255.55555555555554
Esenyurt,Esenkent Mah.,3,26000.0,277.77777777777777
Pendik,Güzelyalı Mah.,8,25750.0,167.14285714285714
Ümraniye,Necip Fazıl Mah.,9,25500.0,252.08333333333334
Kağıthane,Nurtepe Mah.,7,25500.0,268.42105263157896
Başakşehir,Başak Mah.,5,25500.0,283.7837837837838
Büyükçekmece,Pınartepe Mah.,10,25500.0,188.88888888888889
Eyüpsultan,Merkez Mah.,10,25500.0,256.969696969697
Küçükçekmece,Halkalı Merkez Mah.,16,25499.5,248.33333333333331
Büyükçekmece,Atatürk Mah.,11,25000.0,155.55555555555554
Sancaktepe,Abdurrahmangazi Mah.,12,25000.0,283.60215053763443
Şişli,Paşa Mah.,21,25000.0,315.7894736842105
Beyoğlu,Sururi Mehmet Efendi Mah.,4,25000.0,358.974358974359
Güngören,Gençosman Mah.,15,25000.0,222.22222222222223
Pendik,Doğu Mah.,5,25000.0,237.5
Beyoğlu,Çatma Mescit Mah.,7,25000.0,357.14285714285717
Güngören,Mareşal Çakmak Mah.,3,25000.0,200.0
Beylikdüzü,Kavaklı Mah.,65,25000.0,188.46153846153845
Maltepe,Girne Mah.,7,25000.0,228.0
Beylikdüzü,Dereağzı Mah.,10,25000.0,195.23809523809524
Büyükçekmece,Mimaroba Mah.,9,25000.0,212.5
Eyüpsultan,Karadolap Mah.,19,25000.0,275.0
Kağıthane,Çeliktepe Mah.,55,25000.0,269.2307692307692
Şişli,İnönü Mah.,37,25000.0,350.0
Kağıthane,Seyrantepe Mah.,60,25000.0,332.89473684210526
Kağıthane,Ortabayır Mah.,48,25000.0,272.11538461538464
Kağıthane,Mehmet Akif Ersoy Mah.,3,25000.0,357.14285714285717
Kağıthane,Gürsel Mah.,30,25000.0,278.8888888888889
Kartal,Karlıktepe Mah.,7,25000.0,263.1578947368421
Ataşehir,Ferhatpaşa Mah.,3,25000.0,181.8181818181818
Beykoz,İncirköy Mah.,4,25000.0,230.76923076923077
Üsküdar,Bulgurlu Mah.,23,25000.0,300.0
Fatih,Ali Kuşçu Mah.,5,25000.0,277.77777777777777
Avcılar,Tahtakale Mah.,11,25000.0,220.125786163522
Bahçelievler,Siyavuşpaşa Mah.,32,25000.0,213.04347826086956
Bahçelievler,Çobançeşme Mah.,5,25000.0,175.0
Bakırköy,Kartaltepe Mah.,25,25000.0,263.1578947368421
Ataşehir,İnönü Mah.,28,25000.0,360.77481840193707
Eyüpsultan,Sakarya Mah.,3,25000.0,240.0
Ataşehir,Fetih Mah.,3,25000.0,200.0
Beylikdüzü,Adnan Kahveci Mah.,35,25000.0,185.1851851851852
Ümraniye,Namık Kemal Mah.,11,25000.0,268.75
Şişli,Mecidiyeköy Mah.,111,25000.0,325.0
Üsküdar,İcadiye Mah.,7,25000.0,317.6470588235294
Çekmeköy,Merkez Mah.,10,25000.0,270.83333333333337
Fatih,Topkapı Mah.,5,25000.0,261.53846153846155
Çekmeköy,Ekşioğlu Mah.,5,25000.0,268.75
Zeytinburnu,Gökalp Mah.,13,25000.0,307.6923076923077
Eyüpsultan,İslambey Mah.,13,25000.0,210.08403361344537
Başakşehir,Başakşehir Mah.,16,25000.0,306.4935064935065
Beykoz,Göztepe Mah.,12,25000.0,204.24242424242425
Beykoz,Rüzgarlıbahçe Mah.,9,25000.0,294.11764705882354
Kartal,Hürriyet Mah.,23,25000.0,223.8095238095238
Çekmeköy,Mehmet Akif Mah.,14,24750.0,258.6618876941458
Kağıthane,Çağlayan Mah.,44,24750.0,271.65775401069516
Ümraniye,İstiklal Mah.,12,24500.0,251.63398692810458
Kartal,Yakacık Çarşı Mah.,5,24500.0,214.7058823529412
Kartal,Orta Mah.,3,24250.0,283.3333333333333
Sarıyer,Fatih Sultan Mehmet Mah.,4,24000.0,219.5187165775401
Küçükçekmece,Yeni Mahalle Mah.,4,24000.0,273.9819004524887
Büyükçekmece,Çakmaklı Mah.,8,24000.0,267.4418604651163
Çekmeköy,Mimar Sinan Mah.,8,24000.0,259.3567251461988
Pendik,Esenler Mah.,3,24000.0,177.77777777777777
Pendik,Güllü Bağlar Mah.,6,24000.0,252.27272727272725
Şişli,Gülbahar Mah.,69,24000.0,266.6666666666667
Pendik,Sapan Bağları Mah.,5,24000.0,209.0909090909091
Fatih,Akşemsettin Mah.,9,24000.0,261.53846153846155
Güngören,Merkez Mah.,10,24000.0,212.04545454545456
Ataşehir,Kayışdağı Mah.,44,23875.0,394.00921658986175
Beykoz,Fatih Mah.,6,23750.0,235.85858585858585
Ümraniye,Atatürk Mah.,8,23750.0,256.6666666666667
Beylikdüzü,Barış Mah.,18,23750.0,168.52678571428572
Sancaktepe,Emek Mah.,6,23650.0,325.4901960784314
Üsküdar,Mehmet Akif Ersoy Mah.,4,23500.0,188.14102564102564
Bağcılar,Mahmutbey Mah.,15,23500.0,286.6666666666667
Fatih,Yavuz Sultan Selim Mah.,6,23500.0,318.25396825396825
Beykoz,Paşabahçe Mah.,11,23500.0,285.7142857142857
Pendik,Kurtköy Mah.,3,23500.0,328.57142857142856
Maltepe,Zümrütevler Mah.,23,23500.0,208.33333333333334
Maltepe,Fındıklı Mah.,29,23500.0,276.9230769230769
Esenyurt,Koza Mah.,20,23250.0,212.54901960784315
Esenyurt,Cumhuriyet Mah.,18,23250.0,179.28571428571428
Kartal,Cevizli Mah.,8,23250.0,315.0
Gaziosmanpaşa,Karlıtepe Mah.,4,23000.0,257.66666666666663
Üsküdar,Zeynep Kamil Mah.,27,23000.0,255.55555555555554
Şişli,Yayla Mah.,13,23000.0,250.0
Ataşehir,Esatpaşa Mah.,6,23000.0,243.05555555555554
Bayrampaşa,İsmet Paşa Mah.,4,23000.0,314.02714932126696
Başakşehir,Kayabaşı Mah.,43,23000.0,266.6666666666667
Bakırköy,Cevizlik Mah.,7,23000.0,257.14285714285717
Şişli,Kuştepe Mah.,39,23000.0,353.3333333333333
Tuzla,Şifa Mah.,7,23000.0,223.52941176470588
Beyoğlu,Halıcıoğlu Mah.,8,22750.0,275.6787330316742
Üsküdar,Valide-i Atik Mah.,10,22750.0,264.4886363636364
Beyoğlu,Hüseyinağa Mah.,10,22500.0,547.7272727272727
Beylikdüzü,Büyükşehir Mah.,8,22500.0,223.8095238095238
Sancaktepe,Osmangazi Mah.,4,22500.0,276.47058823529414
Eyüpsultan,Çırçır Mah.,8,22500.0,248.125
Bayrampaşa,Kartaltepe Mah.,7,22500.0,227.27272727272728
Bayrampaşa,Orta Mah.,8,22500.0,172.25274725274724
Sarıyer,Kocataş Mah.,4,22500.0,215.27777777777777
Kadıköy,Rasimpaşa Mah.,17,22500.0,368.42105263157896
Gaziosmanpaşa,Bağlarbaşı Mah.,6,22500.0,210.9090909090909
Tuzla,Aydınlı Mah.,7,22500.0,222.22222222222223
Güngören,Haznedar Mah.,3,22500.0,187.5
Büyükçekmece,Kumburgaz Mah.,8,22250.0,250.0
Sancaktepe,Meclis Mah.,6,22125.0,166.73062865497076
Ümraniye,Altınşehir Mah.,3,22000.0,165.2173913043478
Zeytinburnu,Telsiz Mah.,9,22000.0,250.0
Beyoğlu,Şehit Muhtar Mah.,11,22000.0,340.0
Çekmeköy,Çatalmeşe Mah.,7,22000.0,218.75
Ataşehir,Mustafa Kemal Mah.,3,22000.0,253.33333333333334
Eyüpsultan,Akşemsettin Mah.,19,22000.0,222.22222222222223
Eyüpsultan,Yeşilpınar Mah.,7,22000.0,227.77777777777777
Beyoğlu,Hacıahmet Mah.,15,22000.0,425.0
Beykoz,Çiğdem Mah.,5,22000.0,226.66666666666666
Beykoz,Çamlıbahçe Mah.,8,22000.0,186.14718614718615
Beykoz,Yalıköy Mah.,7,22000.0,220.0
Beykoz,Tokatköy Mah.,3,22000.0,320.0
Bahçelievler,Cumhuriyet Mah.,9,22000.0,246.15384615384616
Bahçelievler,Kocasinan Merkez Mah.,15,22000.0,216.66666666666666
Kartal,Uğur Mumcu Mah.,10,22000.0,197.68518518518516
Küçükçekmece,Fatih Mah.,18,21750.0,194.76190476190476
Tuzla,Mimar Sinan Mah.,12,21500.0,217.8030303030303
Güngören,Akıncılar Mah.,8,21500.0,191.66666666666666
Kağıthane,Gültepe Mah.,14,21250.0,271.6599190283401
Silivri,Yeni Mah.,27,21000.0,211.53846153846155
Pendik,Fatih Mah.,5,21000.0,190.9090909090909
Ümraniye,Çakmak Mah.,7,21000.0,226.66666666666666
Beykoz,Gümüşsuyu Mah.,9,21000.0,230.0
Arnavutköy,Hadımköy Mah.,8,21000.0,182.35930735930737
Küçükçekmece,İstasyon Mah.,11,21000.0,257.14285714285717
Fatih,Molla Gürani Mah.,14,21000.0,221.11111111111111
Beylikdüzü,Yakuplu Mah.,20,21000.0,231.28342245989305
Pendik,Çamçeşme Mah.,4,21000.0,156.4102564102564
Güngören,Güneştepe Mah.,3,21000.0,160.0
Beyoğlu,Kalyoncu Kulluğu Mah.,18,21000.0,464.77272727272725
Gaziosmanpaşa,Yıldıztabya Mah.,6,21000.0,247.5
Gaziosmanpaşa,Merkez Mah.,14,20750.0,210.72874493927125
Bahçelievler,Soğanlı Mah.,30,20500.0,225.54347826086956
Zeytinburnu,Beştelsiz Mah.,8,20500.0,224.5
Kağıthane,Yahya Kemal Mah.,24,20499.5,248.52941176470588
Beyoğlu,Küçük Piyale Mah.,3,20000.0,235.2941176470588
Fatih,Haseki Sultan Mah.,17,20000.0,250.0
Küçükçekmece,Beşyol Mah.,5,20000.0,210.52631578947367
Küçükçekmece,Yeşilova Mah.,29,20000.0,200.0
Avcılar,Merkez Mah.,28,20000.0,218.25396825396825
Ümraniye,Ihlamurkuyu Mah.,3,20000.0,190.47619047619048
Kağıthane,Yeşilce Mah.,11,20000.0,235.2941176470588
Sarıyer,Pınar Mah.,9,20000.0,285.7142857142857
Küçükçekmece,İnönü Mah.,15,20000.0,298.2456140350877
Kağıthane,Sultan Selim Mah.,57,20000.0,235.2941176470588
Gaziosmanpaşa,Fevzi Çakmak Mah.,3,20000.0,222.22222222222223
Tuzla,Orta Mah.,3,20000.0,222.22222222222223
Esenler,Birlik Mah.,5,20000.0,210.52631578947367
Beykoz,Merkez Mah.,9,20000.0,250.0
Bağcılar,15 Temmuz Mah.,23,20000.0,200.0
Ümraniye,Yamanevler Mah.,5,20000.0,211.76470588235293
Kağıthane,Harmantepe Mah.,31,20000.0,229.00763358778627
Esenler,Menderes Mah.,8,20000.0,178.32538420773716
Bahçelievler,Zafer Mah.,12,20000.0,221.8253968253968
Fatih,Cerrahpaşa Mah.,20,20000.0,222.87581699346407
Üsküdar,Ahmediye Mah.,8,20000.0,235.55555555555554
Ümraniye,Elmalıkent Mah.,3,20000.0,169.23076923076923
Fatih,İskenderpaşa Mah.,7,20000.0,250.0
Küçükçekmece,Kartaltepe Mah.,5,20000.0,200.0
Esenyurt,Gökevler Mah.,9,20000.0,185.1851851851852
Bakırköy,Yenimahalle Mah.,3,20000.0,250.0
Zeytinburnu,Sümer Mah.,21,20000.0,200.0
Fatih,Şehremini Mah.,41,20000.0,222.22222222222223
Zeytinburnu,Çırpıcı Mah.,7,20000.0,230.0
Güngören,Güven Mah.,6,20000.0,186.48325358851673
Bağcılar,Yavuz Selim Mah.,5,20000.0,200.0
Sancaktepe,Fatih Mah.,10,20000.0,154.1958041958042
Bayrampaşa,Altıntepsi Mah.,7,20000.0,222.22222222222223
Küçükçekmece,Cumhuriyet Mah.,27,20000.0,179.31034482758622
Büyükçekmece,Güzelce Mah.,4,20000.0,126.6025641025641
Beyoğlu,Bülbül Mah.,3,20000.0,476.1904761904762
Küçükçekmece,Cennet Mah.,19,20000.0,181.8181818181818
Sultangazi,İsmetpaşa Mah.,4,19800.0,163.92857142857144
Beykoz,Yeni Mahalle Mah.,10,19500.0,173.03030303030303
Küçükçekmece,Gültepe Mah.,24,19500.0,218.38235294117646
Bayrampaşa,Muratpaşa Mah.,5,19300.0,200.0
Bağcılar,Yenimahalle Mah.,4,19250.0,180.6818181818182
Bağcılar,Göztepe Mah.,6,19250.0,170.0
Büyükçekmece,Fatih Mah.,16,19250.0,149.20634920634922
